Movie, Genre, Actor,Actor2,Actor3
Secretariat,Biography,Scott Glenn,Ruth Wilson,B.J. Novak
TMNT,Action,Chris Evans,Delroy Lindo,Al Freeman Jr.
Radio,Biography,Alfre Woodard,Maude Apatow,Mackenzie Aladjem
Friends with Benefits,Comedy,Mila Kunis,Bernie Mac,Ann-Margret
Neighbors 2: Sorority Rising,Comedy,ChloÃ« Grace Moretz,Kevin Grevioux,Steven Mackintosh
Saving Mr. Banks,Biography,Tom Hanks,Christine Taylor,Mindy Kaling
Malcolm X,Biography,Denzel Washington,Jon Heder,Tim Meadows
This Is 40,Comedy,Charlyne Yi,Victor Webster,Elizabeth Perkins
Old Dogs,Comedy,Robin Williams,Al Pacino,Anne Heche
Underworld: Rise of the Lycans,Action,Craig Parker,Jaymes Butler,Colin Salmon
License to Wed,Comedy,Robin Williams,Zelda Rubinstein,Craig T. Nelson
The Benchwarmers,Comedy,Jon Lovitz,Tom Hanks,Stephen Root
Must Love Dogs,Comedy,Stockard Channing,Beau Bridges,Jamie Hector
Donnie Brasco,Biography,Johnny Depp,Olivia Wilde,Justin Timberlake
Resident Evil,Action,Milla Jovovich,Noureen DeWulf,Tom Bosley
Poltergeist,Fantasy,Heather O'Rourke,Steve Howey,Kirsten Day
The Ladykillers,Comedy,J.K. Simmons,Kimberly Elise,Logan Browning
Max Payne,Action,Mila Kunis,Marsha Thomason,Vincent Regan
In Time,Action,Matt Bomer,Vic Morrow,Joyce Van Patten
The Back-up Plan,Comedy,Danneel Ackles,Raul Julia,Kylie Minogue
Something Borrowed,Comedy,Ashley Williams,Frank Finlay,Ed Stoppard
Hit the FloorÂ             ,Drama,Jodi Lyn O'Keefe,Jason Flemyng,Ian Richardson
Black Knight,Adventure,Tom Wilkinson,Hiam Abbass,Shaun Toub
The Bad News Bears,Comedy,Tatum O'Neal,Paris Hilton,Brian Van Holt
Street Fighter,Action,Ming-Na Wen,Julia Roberts,Colin Stinton
The Pianist,Biography,Emilia Fox,Naomi Watts,Kaitlyn Dever
From Hell,Horror,Johnny Depp,Cameron Boyce,Julian Glover
The Nativity Story,Drama,Keisha Castle-Hughes,Lena Olin,Bruce Spence
House of Wax,Horror,Robert Ri'chard,Robert Davi,Kevin Peter Hall
Closer,Drama,Natalie Portman,Jesse Tyler Ferguson,Joseph Cross
J. Edgar,Biography,Leonardo DiCaprio,Sissy Spacek,Douglas Smith
Mirrors,Horror,Jason Flemyng,William Hootkins,Sam J. Jones
Queen of the Damned,Drama,Aaliyah,Mike Starr,George Carlin
Predator 2,Action,Adam Baldwin,Chad Lindberg,Carmen Ejogo
Untraceable,Crime,Billy Burke,Bob Gunton,Leon Rippy
Blast from the Past,Comedy,Brendan Fraser,Joshua Mikel,D.B. Sweeney
Flash Gordon,Action,Brian Blessed,Bill Bailey,Eros Vlahos
Jersey Girl,Comedy,Stephen Root,J.T. Walsh,Paul Guilfoyle
Alex Cross,Action,Cicely Tyson,Callum Rennie,Nicki Aycox
Midnight in the Garden of Good and Evil,Crime,Kevin Spacey,Steve Coogan,Joanna Lumley
Heist,Action,Robert De Niro,Eddie Marsan,Albert Brooks
Nanny McPhee Returns,Comedy,Daniel Mays,Benjamin J. Cain Jr.,Richard Cetrone
Hoffa,Biography,Frank Whaley,Olivia Williams,Pip Torrens
The X Files: I Want to Believe,Drama,Mitch Pileggi,Rip Torn,Richard Thomas
Ella Enchanted,Comedy,Anne Hathaway,Tracy Morgan,Marion Ross
Concussion,Biography,Will Smith,James Ransone,Michael Beach
Abduction,Action,Ken Arnold,Portia de Rossi,Derek Mears
Valiant,Adventure,Jim Broadbent,Dania Ramirez,Aasif Mandvi
Wonder Boys,Comedy,Robert Downey Jr.,Richard T. Jones,Michael Mosley
Superhero Movie,Action,Drake Bell,Lucy Gordon,Alex Jennings
Broken City,Crime,Alona Tal,Clifton Collins Jr.,Wendell Pierce
Cursed,Comedy,Shannon Elizabeth,Jon Favreau,Austin Nichols
Premium Rush,Action,Joseph Gordon-Levitt,Brooke Shields,Matt Prokop
Hot Pursuit,Action,Jim Gaffigan,Cariba Heine,Richard Brancatisano
The Four Feathers,Adventure,Djimon Hounsou,Alun Armstrong,Lysette Anthony
Parker,Action,Jason Statham,Tom Cruise,Andrew Garfield
Wimbledon,Comedy,Kirsten Dunst,Dann Florek,Christopher Rich
Furry Vengeance,Comedy,Brendan Fraser,Nat Faxon,Matt Price
Bait,Action,Alex Russell,Scott Glenn,Jason Behr
Krull,Action,Liam Neeson,Ronny Cox,Harris Yulin
Lions for Lambs,Drama,Meryl Streep,Jim Broadbent,Thomas Kretschmann
Flight of the Intruder,Action,Rosanna Arquette,Bashar Rahal,Shawn Doyle
Walk Hard: The Dewey Cox Story,Comedy,Tim Meadows,Tye Sheridan,Fiona Shaw
The Shipping News,Drama,Kevin Spacey,Lela Rochon,Ray Nicholas
American Outlaws,Action,Gregory Smith,Martin Donovan,Maurice Compte
The Young Victoria,Biography,Michiel Huisman,Mark Addy,Benno FÃ_rmann
Whiteout,Action,Tom Skerritt,Wayne Knight,Colin Salmon
The Tree of Life,Drama,Brad Pitt,Rip Torn,Thomas F. Wilson
Knock Off,Action,Paul Sorvino,Soleyman Pierini,Jade Kindar-Martin
Sabotage,Action,Mireille Enos,Lee Arenberg,Angus Macfadyen
The Order,Action,Heath Ledger,Albert Finney,Richard Coyle
Punisher: War Zone,Action,Julie Benz,Indira Varma,Warren Brown
Zoom,Action,Kevin Zegers,Thomas Ian Nicholas,John Heard
The Walk,Adventure,Joseph Gordon-Levitt,Jesse Borrego,Raymond Cruz
Warriors of Virtue,Action,Marley Shelton,Tom Wilkinson,Julia Ormond
A Good Year,Comedy,Archie Panjabi,Gregg Henry,Rie Rasmussen
LutherÂ             ,Crime,Ruth Wilson,Rod Steiger,John Gielgud
Radio Flyer,Drama,Adam Baldwin,FranÃ§ois Cluzet,Isabelle CarrÃ©
"Blood In, Blood OutÂ ",Crime,Delroy Lindo,Jeffrey Dover,Tobey Maguire
Smilla's Sense of Snow,Action,Jim Broadbent,Hanaa Bouchaib,Eduard FernÃ¡ndez
Femme Fatale,Crime,Peter Coyote,Alice Englert,Bipasha Basu
Lion of the Desert,Biography,Oliver Reed,Sam Shepard,Dwight Yoakam
The Horseman on the Roof,Adventure,Olivier Martinez,Aisha Tyler,Beverly D'Angelo
Ride with the Devil,Drama,Jeremy W. Auman,Aml Ameen,Jacob Latimore
Biutiful,Drama,Maricel ÃÅlvarez,June Diane Raphael,Melissa McMeekin
The Lovers,Action,Tamsin Egerton,Geraldine Chaplin,Stuart Wilson
Bandidas,Action,Salma Hayek,Ellen Burstyn,Mark Margolis
Black Water Transit,Crime,Bill Cobbs,Kevin J. O'Connor,Hudson Leick
The Maze Runner,Action,Ki Hong Lee,Mark Valley,Sami Gayle
Unfinished Business,Comedy,Tom Wilkinson,YÃ»ki Amami,Yuria Nara
The Age of Innocence,Drama,Richard E. Grant,Melissa Benoist,Hayley Lovitt
The Fountain,Drama,Hugh Jackman,Charlize Theron,Clea DuVall
Chill Factor,Action,David Paymer,Eva Marie Saint,Vincent Perez
Stolen,Action,Nicolas Cage,Dennis Quaid,Judy Greer
Ponyo,Adventure,Rumi Hiiragi,Fana Mokoena,Tony Kgoroge
The Longest Ride,Drama,Tiago Riani,Warren Beatty,M. Emmet Walsh
The Astronaut's Wife,Drama,Johnny Depp,Demi Moore,Kevin Pollak
I Dreamed of Africa,Adventure,Liam Aiken,Bill Duke,Bruce McGill
Playing for Keeps,Comedy,Gerard Butler,Cedric the Entertainer,Tichina Arnold
Mandela: Long Walk to Freedom,Biography,Terry Pheto,Brianne Brozey,Joe Ochman
Reds,Biography,Paul Sorvino,Veronika Vernadskaya,Dato Bakhtadze
A Few Good Men,Drama,Tom Cruise,Stephen Boss,Misha Gabriel Hamilton
Exit Wounds,Action,Michael Jai White,Kenan Thompson,Rachel Blanchard
Big Momma's House,Action,Nia Long,Joseph Sikora,Chris Ellis
Thunder and the House of Magic,Adventure,Kyle Hebert,Marco St. John,Eddie Jemison
The Darkest Hour,Action,Max Minghella,Kuno Becker,Stephen Dillane
Step Up Revolution,Drama,Ryan Guzman,Reggie Lee,Robert John Burke
Snakes on a Plane,Action,Lin Shaye,Kurt Fuller,Jake Weber
The Watcher,Crime,Keanu Reeves,Ian McDiarmid,Kenny Baker
The Punisher,Action,Laura Harring,Jason Cope,Jeremy Crutchley
Goal! The Dream Begins,Drama,Sean Pertwee,David Kross,Susanne Lothar
Safe,Action,Jason Statham,Lauren Ambrose,Joe Lo Truglio
Pushing Tin,Comedy,Angelina Jolie Pitt,Zooey Deschanel,Will Ferrell
Star Wars: Episode VI - Return of the Jedi,Action,Harrison Ford,Kyra Sedgwick,David Gallagher
Doomsday,Action,Ryan Kruger,Nichelle Nichols,M. Emmet Walsh
The Reader,Drama,Kate Winslet,Alfre Woodard,Robert Mitchum
Wanderlust,Comedy,Justin Theroux,Moises Arias,HÃ©ctor JimÃ©nez
Elf,Comedy,Peter Dinklage,Wendi McLendon-Covey,Steve Bannos
Phenomenon,Drama,Robert Duvall,James Franco,Emma Watson
Snow Dogs,Adventure,James Coburn,Enrico Colantoni,Portia de Rossi
Scrooged,Comedy,Bill Murray,Charlize Theron,Michael Rapaport
Nacho Libre,Comedy,Ana de la Reguera,Hayden Christensen,Jay Hernandez
Bridesmaids,Comedy,Matt Lucas,Robert De Niro,Topher Grace
This Is the End,Comedy,Channing Tatum,Tony Curran,Portia Doubleday
Stigmata,Horror,Nia Long,Cas Anvar,Russell Peters
Men of Honor,Biography,Robert De Niro,Danny Nucci,Michael DeLorenzo
Takers,Action,Paul Walker,Virginia Madsen,Ed Lauter
The Big Wedding,Comedy,Robin Williams,Julian Richings,Judy Davis
"Big Mommas: Like Father, Like SonÂ ",Action,Brandon T. Jackson,John Belushi,Treat Williams
Source Code,Mystery,Jake Gyllenhaal,Freddy RodrÃ_guez,Holmes Osborne
Alive,Adventure,Illeana Douglas,Kyle Schmid,William Hurt
The Number 23,Mystery,Logan Lerman,Jason Flemyng,Matthew Modine
The Young and Prodigious T.S. Spivet,Action,Callum Rennie,Pat Hingle,Roberts Blossom
1941,Action,Christopher Lee,Mike Doyle,Nora Dunn
Dreamer: Inspired by a True Story,Drama,Ken Howard,Marc Anthony,Sonja Sohn
A History of Violence,Crime,Viggo Mortensen,RZA,Yvette Nicole Brown
Transporter 2,Action,Jason Statham,Aimee Garcia,Chris Mulkey
The Quick and the Dead,Action,Leonardo DiCaprio,Nancy Travis,Andrea Martin
Laws of Attraction,Comedy,Frances Fisher,Olivia Wilde,Steve Carell
Bringing Out the Dead,Drama,Nicolas Cage,Frank Welker,Hal Holbrook
Repo Men,Action,Alice Braga,Vanessa Redgrave,Emily Watson
Dragon Wars: D-War,Action,Robert Forster,Beau Bridges,Leland Orser
Bogus,Comedy,Haley Joel Osment,Rollo Weeks,Simon Callow
The Incredible Burt Wonderstone,Comedy,Steve Buscemi,Marlon Brando,Robert Duvall
Cats Don't Dance,Animation,George Kennedy,Kelli Garner,Jim Gaffigan
Cradle Will Rock,Drama,Bill Murray,Olympia Dukakis,Jean Louisa Kelly
The Good German,Drama,Tony Curran,Jordi MollÃ ,Doug Cockle
George and the Dragon,Action,Joan Plowright,Michael Gough,Michael Kitchen
Apocalypse Now,Drama,Harrison Ford,Bruce Greenwood,Nadine Velazquez
Going the Distance,Comedy,Rob Riggle,Lois Chiles,Lois Maxwell
Mr. Holland's Opus,Drama,Alicia Witt,Tom Wilkinson,F. Murray Abraham
Criminal,Action,Gary Oldman,Mika Boorem,Hope Davis
Out of Africa,Biography,Meryl Streep,Peter Jason,Brian McNamara
Flight,Drama,Denzel Washington,Andre Braugher,Noah Emmerich
Moonraker,Action,Desmond Llewelyn,Kate McKinnon,Zach Woods
The Grand Budapest Hotel,Adventure,Bill Murray,Norman Reedus,Beverly D'Angelo
Hearts in Atlantis,Drama,Anthony Hopkins,Rene Russo,Jon Gries
Arachnophobia,Comedy,Julian Sands,Chita Rivera,Jayne Eastwood
Frequency,Crime,Dennis Quaid,Adam Sandler,Joey Lauren Adams
Ghostbusters,Action,Ed Begley Jr.,Shannon Elizabeth,Natasha Lyonne
Vacation,Adventure,Chris Hemsworth,John Ratzenberger,Jim Varney
Get Shorty,Comedy,Delroy Lindo,Alan Ruck,Joe Morton
Chicago,Comedy,Colm Feore,Lucas Bryant,Dillon Casey
Big Daddy,Comedy,Steve Buscemi,Brendan Fraser,Alan Ruck
American Pie 2,Comedy,Alyson Hannigan,Denzel Washington,Ethan Suplee
Toy Story,Adventure,Tom Hanks,Jeffrey Jones,Courtney B. Vance
Speed,Action,Keanu Reeves,David Oyelowo,Vanessa Redgrave
The Vow,Drama,Channing Tatum,Stephen Root,Joel David Moore
Extraordinary Measures,Drama,Harrison Ford,Raul Julia,Carel Struycken
Remember the Titans,Biography,Ryan Gosling,Bob Gunton,Sophie Okonedo
The Hunt for Red October,Action,Scott Glenn,Hector Elizondo,Heather Matarazzo
Lee Daniels' The Butler,Biography,Alex Pettyfer,Elizabeth Berkley,Stephen Collins
Dodgeball: A True Underdog Story,Comedy,Gary Cole,Brad Pitt,Reg E. Cathey
The Addams Family,Comedy,Anjelica Huston,Jed Brophy,Jason Cope
Ace Ventura: When Nature Calls,Adventure,Bruce Spence,Bill Fagerbakke,Rodger Bumpass
The Princess Diaries,Comedy,Anne Hathaway,Spencer Treat Clark,Tom Guiry
The First Wives Club,Comedy,Stockard Channing,Morgan Freeman,Mike Colter
Se7en,Crime,Morgan Freeman,Chazz Palminteri,Molly Shannon
District 9,Action,Sharlto Copley,Kevin Connolly,Gena Rowlands
The SpongeBob SquarePants Movie,Adventure,Scarlett Johansson,Bern Cohen,Yetta Gottesman
Mystic River,Crime,John Doman,Vanessa Williams,Moises Arias
Million Dollar Baby,Drama,Clint Eastwood,Casey Kasem,Debbie Reynolds
Analyze This,Comedy,Robert De Niro,Blythe Danner,Melinda Dillon
The Notebook,Drama,Ryan Gosling,Brad Pitt,Julia Ormond
27 Dresses,Comedy,Judy Greer,Anna Kendrick,Chris Lowell
Hannah Montana: The Movie,Comedy,Emily Osment,June Squibb,Howard Hesseman
Rugrats in Paris: The Movie,Adventure,Elizabeth Daily,Vincent Leclerc,Daniel Rindress-Kay
The Prince of Tides,Drama,George Carlin,Bruce Willis,Tracie Thoms
Legends of the Fall,Drama,Anthony Hopkins,Mark Addy,Wanda Sykes
Up in the Air,Drama,J.K. Simmons,Christine Cavanaugh,Roscoe Lee Browne
About Schmidt,Comedy,Hope Davis,Steve Carell,Jean Smart
Warm Bodies,Comedy,Cory Hardrict,Jack McBrayer,Maria Thayer
Looper,Action,Joseph Gordon-Levitt,Aimee Teegarden,Scott Porter
Down to Earth,Comedy,Chazz Palminteri,Tony Nappo,Fionnula Flanagan
Babe,Comedy,Miriam Margolyes,Amy Poehler,Romany Malco
Hope Springs,Comedy,Meryl Streep,Harry Connick Jr.,Gena Rowlands
Forgetting Sarah Marshall,Comedy,Mila Kunis,Steve Howey,Candice Bergen
Friday Night LightsÂ             ,Drama,Zach Gilford,Scott Adsit,Bonnie Somerville
Four Brothers,Action,Josh Charles,Judy Greer,Christa B. Allen
Baby Mama,Comedy,Tina Fey,Audrey Fleurot,Nina Arianda
Hope Floats,Drama,Bill Cobbs,Brendan Fraser,Sarah Gadon
Bride Wars,Comedy,Anne Hathaway,Ethan Suplee,Jordi MollÃ 
Without a Paddle,Adventure,Antony Starr,John Savage,Raphael Sbarge
13 Going on 30,Comedy,Jennifer Garner,Nichelle Nichols,Walter Koenig
Midnight in Paris,Comedy,Kurt Fuller,Robert Forster,Anne Meara
The Nut Job,Adventure,Liam Neeson,Fred Ward,Priscilla Presley
Blow,Biography,Johnny Depp,Alison Doody,Tanya Roberts
Message in a Bottle,Drama,Robin Wright,Geraldine McEwan,Peter Sallis
Star Trek V: The Final Frontier,Action,Leonard Nimoy,Harry Connick Jr.,Nellie McKay
Like Mike,Comedy,Brenda Song,Frankie Muniz,M. Emmet Walsh
Naked Gun 33 1/3: The Final Insult,Comedy,George Kennedy,Alfie Allen,Brenda Blethyn
A View to a Kill,Action,Patrick Macnee,Marcia DeBonis,Luisa Ranieri
The Curse of the Were-Rabbit,Animation,Mark Gatiss,Ken Takakura,Kate Capshaw
P.S. I Love You,Drama,Gerard Butler,Larry David,Sean Hayes
Racing Stripes,Adventure,Bruce Greenwood,Christopher Lee,Joanna Lumley
Atonement,Drama,Benedict Cumberbatch,Austin Nichols,Derek Luke
Letters to Juliet,Comedy,Vanessa Redgrave,Bernardo Saracino,Daniel Kaluuya
Black Rain,Action,Stephen Root,50 Cent,Oona Laurence
The Three Stooges,Comedy,Kate Upton,Alison Lohman,Reggie Lee
Corpse Bride,Animation,Johnny Depp,Michiel Huisman,Ellen Burstyn
Glory Road,Biography,Mehcad Brooks,Robert Duvall,Emmanuelle Vaugier
Sicario,Action,Edgar Arreola,Stephen Boss,Facundo Lombard
Southpaw,Drama,Jake Gyllenhaal,Mika Boorem,Sanoe Lake
Drag Me to Hell,Horror,Bojana Novakovic,Christian Stolte,Danny Rhodes
The Age of Adaline,Drama,Harrison Ford,Mark Rendall,Megan Franich
Secondhand Lions,Comedy,Haley Joel Osment,Bradley Whitford,Kristen Connolly
Step Up 3D,Drama,Alyson Stoner,Diedrich Bader,Method Man
Blue Crush,Drama,Faizon Love,Yaphet Kotto,Philip Baker Hall
Stranger Than Fiction,Comedy,Will Ferrell,Maria Conchita Alonso,Richard Dawson
30 Days of Night,Horror,Danny Huston,Jim Belushi,Tisha Campbell-Martin
The Cabin in the Woods,Fantasy,Chris Hemsworth,Vicky Krieps,John Macmillan
Meet the Spartans,Comedy,Carmen Electra,Joan Allen,Liam James
Midnight Run,Action,Robert De Niro,Talisa Soto,Robin Shou
The Running Man,Action,Yaphet Kotto,Rob Riggle,Randall Park
Little Shop of Horrors,Comedy,Bill Murray,Judy Greer,Portia Doubleday
Hanna,Action,Jessica Barden,Yaya DaCosta,Jasika Nicole
The FamilyÂ             ,Drama,Zach Gilford,Kevin Connolly,Kevin Dillon
Mortal Kombat: Annihilation,Action,Brian Thompson,Jurnee Smollett-Bell,Kevin Dunn
Larry Crowne,Comedy,Tom Hanks,Larry Miller,Richard Schiff
Carrie,Drama,ChloÃ« Grace Moretz,Alan Oppenheimer,Tom Kane
Take the Lead,Drama,Alfre Woodard,David Costabile,Katie Lowes
EntourageÂ             ,Comedy,Debi Mazar,Miranda Richardson,Luke Mably
Gridiron Gang,Crime,Dwayne Johnson,Robert Lopez,Huell Howser
What's the Worst That Could Happen?,Comedy,Bernie Mac,Mimi Rogers,Cheri Oteri
9,Action,Martin Landau,Kirk Baltz,Graham Beckel
Side Effects,Crime,Channing Tatum,Josh Hopkins,Aunjanue Ellis
The Prince and Me,Comedy,Devin Ratray,William Hurt,Tom Everett Scott
Winnie the Pooh,Adventure,Craig Ferguson,Costas Mandylor,Traci Lords
Dumb and Dumberer: When Harry Met Lloyd,Comedy,Elden Henson,Eddie Izzard,Wanda Sykes
Bulworth,Comedy,Warren Beatty,Dorian Missick,Edgar RamÃ_rez
Get on Up,Biography,Tika Sumpter,Rhys Wakefield,Richard Roxburgh
One True Thing,Drama,Meryl Streep,Kevin Sussman,Dave Annable
Virtuosity,Action,Denzel Washington,Jacki Weaver,David Paymer
My Super Ex-Girlfriend,Comedy,Rainn Wilson,Chris Noth,Paul Sorvino
Deliver Us from Evil,Horror,Olivia Munn,Daniel Stern,Aisha Hinds
Sanctum,Adventure,Ioan Gruffudd,Cameron Bright,Nick Chinlund
Little Black Book,Comedy,Holly Hunter,Drea de Matteo,Hugh Dillon
The Five-Year Engagement,Comedy,Alison Brie,Clifton Collins Jr.,Patrick Kilpatrick
Mr 3000,Comedy,Bernie Mac,Stephen Baldwin,Will Patton
The Next Three Days,Crime,Olivia Wilde,Doug E. Doug,Riley Smith
Ultraviolet,Action,Milla Jovovich,Anne Hathaway,Judy Greer
Assault on Precinct 13,Action,Brian Dennehy,Alicia Witt,Deborah Kara Unger
The Replacement Killers,Action,Mira Sorvino,Charlize Theron,Sissy Spacek
Fled,Action,Salma Hayek,Matthew Perry,Natasha Henstridge
Eight Legged Freaks,Action,Scarlett Johansson,David Hewlett,Delphine ChanÃ©ac
Love & Other Drugs,Comedy,Jake Gyllenhaal,Jeffrey Jones,Jordan Prentice
88 Minutes,Crime,Al Pacino,Rick Gonzalez,Frank Grillo
North Country,Drama,Jeremy Renner,Cole Hauser,Marcel Iures
The Whole Ten Yards,Comedy,Bruce Willis,Lobo Sebastian,Robert Costanzo
Splice,Drama,Sarah Polley,Christopher Cousins,Mark Camacho
Howard the Duck,Action,Lea Thompson,Reid Ewing,Sandra Vergara
Pride and Glory,Crime,Jennifer Ehle,Michael Greyeyes,Wes Studi
The Cave,Adventure,Eddie Cibrian,David Suchet,JÃ_rgen Prochnow
Alex & Emma,Comedy,David Paymer,Aidan Quinn,Paul Guilfoyle
Wicker Park,Drama,Jessica ParÃ©,Texas Battle,Randall Duk Kim
Fright Night,Comedy,Grace Phipps,James Burnett,Christiana Leucas
The New World,Biography,Christian Bale,Cameron Bright,Munro Chambers
Wing Commander,Action,Saffron Burrows,Stark Sands,Terence Maynard
In Dreams,Drama,Robert Downey Jr.,Phil LaMarr,Cheech Marin
Dragonball: Evolution,Action,Ian Whyte,Camryn Manheim,Lynda Boyd
The Last Stand,Action,Zach Gilford,Lily Cole,Verne Troyer
Godsend,Drama,Robert De Niro,Atom Egoyan,Paul Gross
Chasing Liberty,Comedy,Annabella Sciorra,Ingvar Eggert SigurÃ°sson,BjÃ¶rn Hlynur Haraldsson
Hoodwinked Too! Hood vs. Evil,Animation,Amy Poehler,John Heard,David Costabile
An Unfinished Life,Drama,Morgan Freeman,Richard Roundtree,Ned Bellamy
The Imaginarium of Doctor Parnassus,Adventure,Andrew Garfield,Morgan Freeman,Matthew Broderick
Barney's Version,Comedy,Mark Addy,Burt Young,Treat Williams
TrappedÂ             ,Crime,Ã“lafur Darri Ã“lafsson,Isabelle Huppert,James Biberi
Runner Runner,Crime,Justin Timberlake,Mackenzie Crook,Kris Marshall
Antitrust,Action,Tyler Labine,SaÃ¯d Taghmaoui,TchÃ©ky Karyo
Glory,Drama,Denzel Washington,Mike Vogel,Steve Howey
Once Upon a Time in America,Crime,Robert De Niro,Bill Paterson,Lucy Boynton
Dead Man Down,Action,Dominic Cooper,Toby Leonard Moore,Nicholas Tse
The Merchant of Venice,Drama,Al Pacino,Holly Valance,Sarah Carter
The Good Thief,Action,Emir Kusturica,Jeremy Renner,Sam Shepard
Supercross,Action,Channing Tatum,Joan Chen,Jaycee Chan
Miss Potter,Biography,Emily Watson,Sandrine Kiberlain,Kad Merad
The Promise,Action,Dong-gun Jang,Michael Angarano,Jason Alexander
DOA: Dead or Alive,Action,Steve Howey,Madeline Carroll,Kathy Baker
The Assassination of Jesse James by the Coward Robert Ford,Biography,Brad Pitt,Vanessa Redgrave,James Corden
1911,Action,Bingbing Li,Patrick Lyster,Tyrone Keogh
Little Nicholas,Comedy,Louise Bourgoin,Thomas Kretschmann,Jemima West
Wild Card,Action,Jason Statham,Frank Langella,Derek Jacobi
Machine Gun Preacher,Action,Gerard Butler,Fedor Bondarchuk,Sergey Garmash
Animals United,Animation,Jim Broadbent,Dougray Scott,Chiara Caselli
The Color of Freedom,Biography,Terry Pheto,Salma Hayek,Anders Holm
United Passions,Drama,Fisher Stevens,Birgitte Hjort SÃ¸rensen,Hana Mae Lee
Grace of Monaco,Biography,Paz Vega,Dallas Roberts,Tyler Hilton
A Warrior's Tail,Adventure,Konstantin Khabenskiy,Kirk Acevedo,Tom Noonan
Ripley's Game,Crime,Ray Winstone,Milos Forman,Anne Bancroft
Sausage Party,Adventure,James Franco,Bradley Pierce,Mark Williams
Pitch Perfect 2,Comedy,Anna Kendrick,Clint Howard,Oliver Platt
Walk the Line,Biography,Sandra Ellis Lafferty,David Julian Hirsh,Jennifer Hall
12 MonkeysÂ             ,Adventure,Amanda Schull,Jerry Stiller,Vincent Pastore
Keeping the Faith,Comedy,Lisa Edelstein,Tyler Labine,Ben Falcone
The Borrowers,Adventure,Jim Broadbent,Kevin McNally,Penelope Wilton
Frost/Nixon,Drama,Toby Jones,Alfre Woodard,Mary McDonnell
Confessions of a Dangerous Mind,Biography,Dick Clark,Billy Boyd,Hannah Spearritt
Serving Sara,Comedy,Matthew Perry,Jason Lewis,Angel Coulby
The Boss,Comedy,Peter Dinklage,Frank Welker,Scott Weinger
Cry Freedom,Biography,Denzel Washington,Neil Brown Jr.,R. Marcos Taylor
Mumford,Comedy,Zooey Deschanel,Amrish Puri,Kate Capshaw
Seed of Chucky,Comedy,Jason Flemyng,Cree Summer,Christine Cavanaugh
The Jacket,Drama,Jennifer Jason Leigh,Billy Burke,Monica Potter
Aladdin,Adventure,Robin Williams,Nina Arianda,John Sessions
Straight Outta Compton,Biography,Aldis Hodge,Salma Hayek,Enrique Iglesias
Indiana Jones and the Temple of Doom,Action,Harrison Ford,Bruce Willis,Reginald VelJohnson
The Rugrats Movie,Adventure,Elizabeth Daily,Ken Marino,Bobb'e J. Thompson
Along Came a Spider,Crime,Morgan Freeman,Christian Bale,Charlie Talbert
Florence Foster Jenkins,Biography,Meryl Streep,Kevin Chamberlin,Demetri Martin
Once Upon a Time in Mexico,Action,Johnny Depp,Noah Emmerich,Kenneth Mitchell
Die Hard,Action,Alan Rickman,Kevin Zegers,Mekhi Phifer
Role Models,Comedy,Joe Lo Truglio,Judy Greer,Alex Rocco
The Big Short,Biography,Ryan Gosling,YÃ» Aoi,Haruma Miura
Taking Woodstock,Comedy,Imelda Staunton,Anjelica Huston,Seymour Cassel
Miracle,Biography,Eddie Cahill,Rebecca De Mornay,Jake Busey
Dawn of the Dead,Action,Ty Burrell,Morgan Freeman,Romany Malco
The Wedding Planner,Comedy,Matthew McConaughey,Topol,Desmond Llewelyn
Harlock: Space Pirate,Adventure,Shun Oguri,David Sparrow,Ann Talman
The Royal Tenenbaums,Comedy,Bill Murray,Bruce McGill,Gloria Reuben
Identity,Mystery,Clea DuVall,Alexander SkarsgÃ¥rd,Will Ferrell
Last Vegas,Comedy,Robert De Niro,Noah Lomax,Mimi Kirkland
For Your Eyes Only,Action,Julian Glover,Omri Katz,Larry Bagby
Serendipity,Comedy,Lilli Lavine,Lily Rabe,Bob Balaban
Timecop,Action,Mia Sara,Deborah Twiss,Michael Rispoli
Zoolander,Comedy,Milla Jovovich,Dilshad Vadsaria,Fred Ward
Safe Haven,Drama,David Lyons,Danny Masterson,Jeri Ryan
Hocus Pocus,Comedy,Vinessa Shaw,Steve Carell,Jennifer Garner
No Reservations,Comedy,ZoÃ« Kravitz,Brenda Blethyn,Simon Woods
Kick-Ass,Action,Elizabeth McGovern,Sean Young,M. Emmet Walsh
30 Minutes or Less,Action,Bianca Kajlich,Jason Flemyng,Eric Stoltz
Dracula 2000,Action,Gerard Butler,Richard Sammel,TÃ_mas Lemarquis
"Alexander and the Terrible, Horrible, No Good, Very Bad DayÂ ",Comedy,Bella Thorne,Oleg Taktarov,Antoni Corone
Pride & Prejudice,Drama,Talulah Riley,Bob Clendenin,Ben Chaplin
Blade Runner,Sci-Fi,Harrison Ford,Philippe Labro,
Rob Roy,Adventure,Liam Neeson,Carlos Ponce,Faizon Love
3 Days to Kill,Action,Connie Nielsen,Mary McCormack,Ron Eldard
We Own the Night,Crime,Robert Duvall,Amber Valletta,George Lopez
Lost Souls,Drama,Philip Baker Hall,Francis Capra,Kathleen Turner
Winged Migration,Documentary,Jacques Perrin,Clea DuVall,Natasha Henstridge
Just My Luck,Comedy,Samaire Armstrong,Zoe Kazan,Scoot McNairy
